small_x,small_y,small_center_x,small_center_y,small_distance,small_start_time,small_stop_time,small_time_interval,big_x,big_y,big_center_x,big_center_y,big_distance,big_start_time,big_stop_time,big_time_interval
851,360,846,356,6.4031242374328485,21:10:21:19:09:27:241,21:10:21:19:09:29:343,2102,874,440,878,430,10.770329614269007,21:10:21:19:09:29:350,21:10:21:19:09:32:301,2951
753,515,745,510,9.433981132056603,21:10:21:19:09:34:57,21:10:21:19:09:36:949,2892,899,405,908,409,9.848857801796104,21:10:21:19:09:36:950,21:10:21:19:09:38:246,1296
976,398,978,392,6.324555320336759,21:10:21:19:09:39:312,21:10:21:19:09:41:39,1727,943,313,934,312,9.055385138137417,21:10:21:19:09:41:39,21:10:21:19:09:42:660,1621
1015,538,1013,533,5.385164807134504,21:10:21:19:09:44:22,21:10:21:19:09:45:301,1279,937,478,945,476,8.246211251235321,21:10:21:19:09:45:301,21:10:21:19:09:46:524,1223
1085,449,1085,448,1.0,21:10:21:19:13:02:268,21:10:21:19:13:03:718,1450,1003,418,1016,411,14.7648230602334,21:10:21:19:13:03:723,21:10:21:19:13:04:922,1199
1204,287,1208,287,4.0,21:10:21:19:13:05:928,21:10:21:19:13:08:08,2080,997,428,996,414,14.035668847618199,21:10:21:19:13:08:08,21:10:21:19:13:10:332,2324
1065,222,1062,212,10.44030650891055,21:10:21:19:13:11:882,21:10:21:19:13:13:431,1549,990,372,985,374,5.385164807134504,21:10:21:19:13:13:432,21:10:21:19:13:14:548,1116
552,73,545,72,7.0710678118654755,21:10:21:19:13:15:579,21:10:21:19:13:17:133,1554,1007,266,1011,270,5.656854249492381,21:10:21:19:13:17:133,21:10:21:19:13:18:575,1442
844,591,831,589,13.152946437965905,21:10:21:19:15:18:186,21:10:21:19:15:20:49,1863,843,591,826,554,40.718546143004666,21:10:21:19:15:20:53,21:10:21:19:15:21:92,1039
978,511,983,498,13.92838827718412,21:10:21:19:15:23:97,21:10:21:19:15:24:751,1654,841,532,862,522,23.259406699226016,21:10:21:19:15:24:752,21:10:21:19:15:26:14,1262
818,456,824,445,12.529964086141668,21:10:21:19:15:29:831,21:10:21:19:15:31:434,1603,894,416,908,408,16.1245154965971,21:10:21:19:15:31:434,21:10:21:19:15:34:697,3263
1005,346,1001,346,4.0,21:10:21:19:15:37:900,21:10:21:19:15:43:535,5635,1015,464,1012,474,10.44030650891055,21:10:21:19:15:43:536,21:10:21:19:15:44:673,1137
878,503,865,506,13.341664064126334,21:10:21:19:24:06:02,21:10:21:19:24:07:214,1212,969,427,963,421,8.48528137423857,21:10:21:19:24:07:222,21:10:21:19:24:08:520,1298
833,367,831,359,8.246211251235321,21:10:21:19:24:10:886,21:10:21:19:24:13:613,2727,926,436,911,408,31.76476034853718,21:10:21:19:24:13:614,21:10:21:19:24:15:872,2258
806,434,800,423,12.529964086141668,21:10:21:19:27:07:364,21:10:21:19:27:08:622,1258,796,373,778,375,18.110770276274835,21:10:21:19:27:08:627,21:10:21:19:27:09:565,938
748,410,740,408,8.246211251235321,21:10:21:19:27:53:570,21:10:21:19:27:54:858,1288,860,410,850,399,14.866068747318506,21:10:21:19:27:54:859,21:10:21:19:27:55:999,1140
